,♙,♘,♗,♕,♖
1,0,0,0,0,0
2,0,0,0,0,0
3,0.0016031245,0,0,0,0
4,0.0039231842,5.54671399862612E-005,1.41869461179786E-005,0,6.32139222342329E-006
5,0.0060101201,0.0007936068,5.20188024325884E-005,2.11108530895734E-005,1.26427844468466E-005
6,0.0206474132,0.0005930717,0.0010261891,0.0001161097,1.89641766702699E-005
7,0.0218816913,0.0045995059,0.0022037056,0.000569993,6.32139222342329E-006
8,0.0151434589,0.003793099,0.0068286501,0.0009183221,6.95353144576562E-005
9,0.0121671401,0.0081366028,0.0041898781,0.0018471996,5.05711377873863E-005
10,0.0102302975,0.0131243787,0.0067340704,0.0021744179,6.32139222342329E-005
11,0.0094447026,0.0155435993,0.0096754973,0.0024277481,0.0002149273
12,0.0104250994,0.013120112,0.0117893522,0.003884397,0.0002338915
13,0.0113879322,0.0119595687,0.0102051432,0.0048554962,0.0003350338
14,0.0114262539,0.0142465216,0.0109334065,0.0066499187,0.0004298547
15,0.0124433757,0.0155435993,0.011860287,0.0111570859,0.0006005323
16,0.0113432235,0.0167638764,0.012905392,0.0108826448,0.0006511034
17,0.0125136321,0.0170070785,0.0145794516,0.0075999071,0.0008028168
18,0.0114470115,0.0206124426,0.0156198277,0.0084548967,0.0009418874
19,0.0112266617,0.0223233905,0.0177005798,0.0091726657,0.0012389929
20,0.0113049018,0.0218028527,0.0180174216,0.0093626633,0.0011568148
21,0.0110318597,0.0226476599,0.0170243353,0.0106715362,0.0017952754
22,0.0109807641,0.0227073938,0.0181403751,0.0106293145,0.0022757012
23,0.0109009272,0.0234540668,0.0184997777,0.0112731955,0.0023199509
24,0.0113783518,0.0228737952,0.019483406,0.0119804091,0.0024210932
25,0.0113512072,0.0239788713,0.0194503031,0.012497625,0.0029520902
26,0.0111548085,0.0236119348,0.0204764922,0.0133842809,0.0031354105
27,0.0109248783,0.0226348598,0.0217722333,0.0135531677,0.0038244423
28,0.0115140744,0.023437,0.0207696891,0.0139437185,0.0041405119
29,0.011285741,0.0238423368,0.0212000265,0.0132259495,0.0047663297
30,0.0115476059,0.0224428582,0.0223113373,0.0133948363,0.0054932898
31,0.0115699603,0.021755919,0.0206514646,0.0149570394,0.0062897853
32,0.0114198669,0.021568184,0.0214695785,0.0148409297,0.0069345673
33,0.0113320464,0.0212268478,0.0211858395,0.0149042623,0.0078069194
34,0.0113033051,0.0210476463,0.0207034834,0.0146720429,0.0092229113
35,0.0116146689,0.0196311009,0.0208973716,0.0154531445,0.0103860474
36,0.0114118832,0.0196097673,0.0200887157,0.015664253,0.0115871119
37,0.0113512072,0.0190380291,0.0199468462,0.01645591,0.0128261048
38,0.011084552,0.0184108238,0.0195212379,0.0162553569,0.0142673822
39,0.0110621977,0.0169729448,0.0198664535,0.0168042391,0.0152914478
40,0.0110733749,0.0169260111,0.0184808618,0.0167725728,0.016100586
41,0.0109392489,0.0156118666,0.0180363375,0.016308134,0.0169792595
42,0.010640659,0.0156801338,0.0171709338,0.0162025797,0.0183699658
43,0.0108721859,0.014771326,0.0169770455,0.0170575693,0.0195394234
44,0.0105209037,0.014613458,0.0160879969,0.0166564631,0.0202158123
45,0.0105272906,0.0138027845,0.0156718465,0.0169731259,0.0208858799
46,0.0105017428,0.0132865134,0.0148395456,0.0162025797,0.0210565575
47,0.0104171157,0.0124630397,0.0143193576,0.0166459077,0.0212398779
48,0.0101281063,0.0117633004,0.0139694129,0.0160336929,0.0215938758
49,0.0101935725,0.011293963,0.0138511884,0.0157170301,0.0218340887
50,0.0099891901,0.0111104948,0.0126925878,0.0163714666,0.0212209137
51,0.0099269173,0.0100950195,0.012115652,0.0160970255,0.0208605943
52,0.0097864044,0.0097408831,0.0113400989,0.0153792565,0.0213726271
53,0.009898176,0.0088363421,0.0116096509,0.0148092634,0.0212082709
54,0.0095612644,0.008823542,0.0111698556,0.0144926006,0.0210818431
55,0.0095341199,0.0085632731,0.0105929198,0.0145137115,0.0202347765
56,0.0093840266,0.0085120726,0.009741703,0.0141231607,0.0199060641
57,0.0092946093,0.0078080666,0.0093964873,0.0134476134,0.0191538184
58,0.0091844344,0.0074965973,0.0088904862,0.0124131816,0.0187998205
59,0.0091125812,0.0070485935,0.0086682241,0.0122442948,0.0186417857
60,0.0089113922,0.00702726,0.0082709896,0.0126770673,0.01838893
61,0.0088954249,0.006596323,0.008162223,0.0126559564,0.0176240415
62,0.0086718816,0.0060672518,0.0074765206,0.012149296,0.0170171879
63,0.008590448,0.0059136505,0.0072920903,0.0111887521,0.0162712636
64,0.0086000284,0.0058155163,0.006857024,0.0110515316,0.0152029483
65,0.008523385,0.0055125804,0.0065354532,0.0109670882,0.0143053106
66,0.0083764852,0.0051968443,0.0062800881,0.0099009901,0.0138880987
67,0.0081289908,0.0049067085,0.0061287607,0.0093732188,0.0135151366
68,0.0080108323,0.0044373712,0.0057788161,0.0090987777,0.0129019615
69,0.0078511585,0.0043733707,0.005263357,0.0092782199,0.0127628909
70,0.0076547598,0.004497105,0.0052349831,0.0087504486,0.0121497159
71,0.0076467761,0.0040448345,0.0047810008,0.0082226773,0.0116945756
72,0.0073833144,0.0040107009,0.004473617,0.0077582385,0.0113595418
73,0.0072923004,0.0035029632,0.0045161778,0.0074943528,0.0108727946
74,0.0071326266,0.0035413636,0.0042655418,0.0074626866,0.0107716523
75,0.0072795265,0.0038016324,0.0041425883,0.0073571323,0.009589552
76,0.0070080811,0.0032085607,0.0039818029,0.0066182524,0.0092924466
77,0.006990517,0.0030549594,0.0037926436,0.0064915873,0.0089826983
78,0.0067446194,0.002931225,0.0036176713,0.0058371509,0.0084833084
79,0.0066264608,0.0029141582,0.0034521569,0.0055415989,0.0081040248
80,0.0066775564,0.0027264233,0.0032819135,0.0055732652,0.0080660965
81,0.0065897359,0.002572822,0.0031258571,0.0056154869,0.0075161354
82,0.0063550154,0.0023978871,0.0031873339,0.005246047,0.0073454578
83,0.0062129058,0.0023594868,0.0029366978,0.0051404927,0.0069345673
84,0.005901542,0.0023509534,0.0029461558,0.0051088264,0.006188643
85,0.0059446539,0.002184552,0.0027191647,0.0047288311,0.0060622151
86,0.0058855746,0.0020949512,0.0024543417,0.0044332791,0.0060053226
87,0.0058121247,0.0019669501,0.0024306968,0.0044755009,0.0056513246
88,0.0056364835,0.001838949,0.0022840983,0.004306614,0.0053036481
89,0.0054480685,0.0018176155,0.0021895187,0.0040532838,0.0051961844
90,0.005262847,0.0017066812,0.0022037056,0.0037999536,0.0051835416
91,0.0051798166,0.0016981478,0.0019767145,0.0037999536,0.0050191854
92,0.0049914016,0.0016640142,0.0017591813,0.0033144039,0.0046146163
93,0.0049371125,0.0015488132,0.001839574,0.002797188,0.0042037258
94,0.0048141637,0.001450679,0.0016977046,0.0028182989,0.0042669398
95,0.0047870192,0.0015104129,0.0017355364,0.0028182989,0.0041278691
96,0.0046225552,0.0014293455,0.0017828262,0.0029766303,0.0037169786
97,0.0044069956,0.0012032103,0.0015511061,0.0029871857,0.003931906
98,0.0043383359,0.0012885443,0.0016882466,0.0026599675,0.003577908
99,0.0042824501,0.0012970777,0.0015511061,0.0026071904,0.0033250523
100,0.0039519254,0.0011264096,0.001584209,0.0025016361,0.0035020513
101,0.0039646993,0.0011093428,0.0014139656,0.0026705229,0.0034198732
102,0.0037379626,0.0010368088,0.0012248063,0.0025121915,0.0031796603
103,0.0037028344,0.0009557415,0.0012484513,0.0024805252,0.0030532324
104,0.0035862725,0.0010112086,0.0012484513,0.0022166396,0.002964733
105,0.0034218086,0.0009472081,0.0012058904,0.0022060841,0.0028699121
106,0.0034409694,0.0009002743,0.0010782079,0.0022166396,0.0027434842
107,0.0033755032,0.0009088078,0.0010687499,0.0020477527,0.0026549847
108,0.0032078457,0.0007808067,0.0010072732,0.0020160865,0.002579128
109,0.0030577524,0.0008917409,0.0011491426,0.0018683105,0.0024274146
110,0.0029172395,0.0007082727,0.0010120022,0.0017522008,0.0023262723
111,0.0029539645,0.0007893401,0.0009883572,0.0018260888,0.0021303092
112,0.00285337,0.0007424063,0.0008464878,0.0017838671,0.0021998445
113,0.0027479853,0.0007125394,0.0009552544,0.0017627562,0.0021050236
114,0.002537216,0.0007082727,0.0008323008,0.0015727586,0.0021619161
115,0.0025851181,0.0006186719,0.0008323008,0.0014038717,0.0018774535
116,0.0024350248,0.0005802716,0.0008275719,0.0013722055,0.0019912386
117,0.002305689,0.0006442722,0.0008275719,0.0014672043,0.0018837749
118,0.0022545934,0.0006016051,0.0006857024,0.0016149803,0.001757347
119,0.0022354326,0.0005760049,0.0006573285,0.001657202,0.0017257401
120,0.0020086958,0.0006400055,0.0007093473,0.0016044248,0.0017130973
121,0.0019847448,0.0005120044,0.0006809734,0.0015410923,0.0016941331
122,0.0018043134,0.0005077377,0.0006809734,0.0014672043,0.0016814903
123,0.001794733,0.0006229386,0.0005958517,0.0011822078,0.0017194187
124,0.0018793601,0.0005205378,0.0005769358,0.0013827609,0.0014033491
125,0.0017899428,0.0005205378,0.0005722068,0.0011188752,0.0015866694
126,0.0016638005,0.0004352037,0.0005958517,0.0012560958,0.0014286346
127,0.001599931,0.0004565372,0.000534375,0.0012033186,0.0013780635
128,0.0014881594,0.0004437371,0.0004870852,0.0014144272,0.0013338138
129,0.0014961431,0.0004352037,0.0005012721,0.0011716523,0.0014033491
130,0.0014083225,0.0004394704,0.000534375,0.000939433,0.0013338138
131,0.001405129,0.0003754699,0.0004492533,0.0009499884,0.0011884217
132,0.0013668073,0.0003541364,0.0004492533,0.0009922101,0.0012642784
133,0.0012087303,0.0003840033,0.0004587113,0.0010344318,0.0013085282
134,0.0012039401,0.0003840033,0.0004256084,0.0010660981,0.0010556725
135,0.0011640217,0.0003200027,0.0003830475,0.0010555427,0.0011315292
136,0.0010362827,0.0002432021,0.0003688606,0.0010977644,0.0012453143
137,0.0010123316,0.0002858691,0.0003452157,0.0008761004,0.0011188864
138,0.0009644295,0.0002474688,0.0004114214,0.0009183221,0.0009166019
139,0.000894173,0.0002773357,0.0003357577,0.0009499884,0.0009039591
140,0.0008574481,0.0002432021,0.0003499447,0.0009288775,0.0008723521
141,0.0008670285,0.0001877349,0.0002931969,0.0008022124,0.000935566
142,0.0008478676,0.0001920016,0.0003310287,0.0006227702,0.0008028168
143,0.0008095459,0.0002901358,0.000260094,0.0006544364,0.0008281024
144,0.0007983688,0.0002090685,0.0002837389,0.0007494353,0.0008407452
145,0.0007648373,0.0002218686,0.000250636,0.0007705461,0.0007269601
146,0.0006945808,0.0001450679,0.0002222622,0.0007072136,0.0007648885
147,0.0006626461,0.0001962683,0.000269552,0.0006755473,0.0006827104
148,0.000645082,0.0002432021,0.000264823,0.0005805485,0.0006890318
149,0.0006370983,0.0001920016,0.0001891593,0.0006649919,0.0005942109
150,0.0006003733,0.0001493346,0.0002222622,0.000569993,0.0007016745
