"","Var1","Var2","Value"
"1","a",1,426
"2","b",1,451
"3","c",1,1533
"4","d",1,741
"5","e",1,548
"6","f",1,2096
"7","g",1,224
"8","h",1,135
"9","a",2,460
"10","b",2,1838
"11","c",2,1098
"12","d",2,4822
"13","e",2,3909
"14","f",2,1429
"15","g",2,4736
"16","h",2,515
"17","a",3,1338
"18","b",3,2593
"19","c",3,8636
"20","d",3,8251
"21","e",3,7640
"22","f",3,8460
"23","g",3,2761
"24","h",3,1569
"25","a",4,944
"26","b",4,2967
"27","c",4,5704
"28","d",4,6973
"29","e",4,6941
"30","f",4,5422
"31","g",4,2809
"32","h",4,911
"33","a",5,605
"34","b",5,3642
"35","c",5,5741
"36","d",5,8676
"37","e",5,6968
"38","f",5,5558
"39","g",5,4597
"40","h",5,721
"41","a",6,2479
"42","b",6,2143
"43","c",6,8448
"44","d",6,7119
"45","e",6,7470
"46","f",6,11589
"47","g",6,3049
"48","h",6,2420
"49","a",7,518
"50","b",7,3001
"51","c",7,889
"52","d",7,5754
"53","e",7,7066
"54","f",7,1490
"55","g",7,5317
"56","h",7,760
"57","a",8,466
"58","b",8,394
"59","c",8,1730
"60","d",8,883
"61","e",8,644
"62","f",8,2163
"63","g",8,183
"64","h",8,134
